course_code,name,num_students,prof
PSYC221,Cognitive Psychology,53,Daryl Wilson
PSYC236,Introduction to Clinical Psychology,47,Meredith Chivers
PSYC241,Social Psychology,83,Jillian O'Connor
PSYC251,Developmental Psychology,26,Laura Lambe
PSYC271,Brain and Behaviour I,43,Scott Squires
PSYC301,Advanced Statistical Inference,38,Leandre R Fabrigar
PSYC305,Introduction to Comparative Cognition,51,Valerie Ann Kuhlmeier
PSYC320,Selected Topics in Cognitive Neuroscience,25,Jeffrey Wammes
PSYC323,Laboratory in Attention,74,Monica Castelhano
PSYC333,Human Sexuality,51,Caroline F Pukall
PSYC334,Laboratory in Psychological Testing,47,Jillian O'Connor
PSYC336,Advanced Adult Clinical Psychology,35,Kathryn Leslie Harkness
PSYC337,Advanced Child Clinical Psychology,24,Luis Flores
PSYC340,Selected Topics in Social Psychology,33,Jillian O'Connor
PSYC341,Laboratory in Social Psychology,26,Li-Jun Ji
PSYC342,The Psychology of Social Influence,26,Leandre R Fabrigar
PSYC343,Judgement and Decision Making,59,DAvid Hauser
PSYC351,Social and Emotional Development,73,Tom Hollenstein
PSYC353,Atypical Development,88,Elizabeth Kelley
PSYC354,Language,27,Stanka A Fitneva
PSYC358,Developmental Social Neuroscience,97,Michele Morningstar
PSYC370,Brain and Behaviour II,77,Janet L Menard
PSYC376,Functional Neuroimaging the Human Brain and Mind,38,Jason Gallivan
PSYC397,History of Modern Psychology,80,Mary C Olmstead
PSYC423,"Driving, Deepfakes, and Disinformation: Applications of Visual Cognition",67,Monica Castelhano
PSYC429,Pain: Body and Mind,50,Timothy Salomons
PSYC436,Sexuality and Gender,76,Meredith Chivers
PSYC442,Culture and Cognition,63,Li-Jun Ji
PSYC450,Advanced Topics in Developmental Psychology,51,Elizabeth Kelley
RELS131,World Religions/Religious Worlds,67,Colin Simonds
RELS132,Western Religions,43,Amarnath Amarasingam
RELS140,Religion and Science,31,Sharday Mosurinjohn
RELS162,"Religion, News, and Media",73,Amarnath Amarasingam
RELS163,Popular Culture and Religion,47,Shobhana Xavier
RELS207,"Religion, Hate, and Xenophobia",69,Amarnath Amarasingam
RELS223,Buddhism,39,Colin Simonds
RELS227,Indigenous Religious Traditions,43,Jorge Legoas
RELS232,Religion and Social Movements,62,Amarnath Amarasingam
RELS331,Religion and Violence,26,Amarnath Amarasingam
RELS332,"Race, Ethnicity, and Religion",81,Shobhana Xavier
RELS341,"Spirituality, Secularity, and Nonreligion",61,Sharday Mosurinjohn
SOCY122,Introduction to Sociology,45,Rob Beamish
SOCY201,Selected Topics in Sociology,85,Pinar  Tuzcu
SOCY211,Introduction to Statistics,76,Victoria Sytsma
SOCY225,Sociology of Globalization,71,Fauzia Husain
SOCY226,Central Concepts in Sociological Theory,27,Thomas Abrams
SOCY275,Theories of Deviance and Social Control,84,Stephen Baron
SOCY276,Substantive Issues in Social Deviance,31,Nicole Myers
SOCY301,Selected Topics in Sociology,78,Fauzia Husain
SOCY304,Selected Topics in Communications and Information Technology,58,Pinar  Tuzcu
SOCY306,Consumer Culture,99,Martin Hand
SOCY388,Sociology of Criminal Justice,63,Nicole Myers
SOCY457,Law and Social Structure,68,Fiona Kay
SPAN111,Beginning Spanish I,30,Consuelo Kani
SPAN112,Beginning Spanish II,51,Consuelo Kani
SPAN204,Español intermedio,45,Max Antonio Lizano
SPAN206,Spanish Conversation and Culture,36,Max Antonio Lizano
STAT252,Introductory Applied Probability,47,Glen Takahara
STAT263,Introduction to Statistics,22,Charles Arthur Molson
STAT268,Statistics and Probability I,26,Yanglei Song
STAT269,Statistics and Probability II,32,Devon Lin
STAT362,R for Data Science,35,Brian Ling
STAT462,Statistical Learning I,80,Devon Lin
STAT473,Generalized Linear Models,48,Wenyu Jiang
STAM200,Introduction to Statistics,61,Mike Lavender
WRIT120,Fundamentals of Effective Writing,51,Laura Kinderman
WRIT125,Fundamentals of Academic Essay Writing,63,Lori Vos
WRIT225,"Writing for Research, Analysis, and Reflection",65,Martina Hardwick
APSC100,Engineering Practice 1,86,Brian Matthew Frank
APSC101,Engineering Design & Practice,73,Aphra Rogers
APSC111,Physics I,52,Anthony J Noble
APSC112,Physics II,89,Sarah Sadavoy
APSC131,Chemistry of Engineering Materials and Processes,86,Mark Daymond
APSC143,Introduction to Computer Programming for Engineers,49,Samir Mohammad
APSC151,Earth Systems Engineering,91,Mark S Diederichs
APSC161,Engineering Graphics,21,Gene Zak
APSC171,Calculus I,74,Kexue Zhang
APSC172,Calculus II,84,Nic Fellini
APSC174,Introduction To Linear Algebra,66,Abdol-Reza Mansouri
APSC182,Applied Engineering Mechanics,63,Colin MacDougall
APSC200,Engineering Design & Practice II,93,Jan Sneep
APSC221,Economic and Business Practice,74,Jan Sneep
APSC381,Advanced Design and Skills for Innovation,90,David S Strong
CHEE209,Analysis of Process Data,83,Jakob Straznicky
CHEE210,Thermodynamics of Energy Conversion Systems,50,Nick Hudon
CHEE221,Chemical Processes and Systems,87,Louise Meunier
CHEE222,Process Dynamics and Numerical Methods,25,Kimberly B McAuley
CHEE229,Cell Based Engineering Principles,75,Kevin De France
CHEE321,Chemical Reaction Engineering,25,Michael F Cunningham
CHEE363,Electrochemical Engineering,95,Mahmoud Khademi
CHEE380,Biochemical Engineering,37,Louise Meunier
CIVL210,Chemistry For Civil Engineers,47,Xiaying Xin
CIVL340,Geotechnical Engineering 1,90,Fady Abdelaal
CIVL442,Geotechnical Design,92,Richard W I Brachman
CMPE212,Introduction to Computing Science II,64,Burton Ma
CMPE325,Human-Computer Interaction,63,Sara Nabil
CMPE332,Database Management Systems,75,Wendy L Powley
CMPE365,Algorithms I,29,James A Stewart
CMPE457,Image Processing & Computer,85,James A Stewart
ELEC221,Electric Circuits,72,Suzan Eren
ELEC224,Continuous-Time Signals and Systems,76,Ilmin Kim
ELEC252,Electronics I,76,Brian Matthew Frank
ELEC270,Discrete Mathematics with Computer Engineering App,35,Karen Rudie
ELEC271,Digital Systems,25,Ryan Grant
ELEC274,Computer Architecture,80,Naraig Manjikian
ELEC278,Fundamentals Of Information Structures,45,Jianbing Ni
ELEC279,Introduction to Object Oriented Programming,21,Xiaodan Zhu
ELEC324,Discrete-Time Signals and Systems,51,Wai-Yip Geoffrey Chan
ELEC326,Probability & Random Processes,22,Saeed Gazor
ELEC353,Electronics II,44,Alois Peter Freundorfer
ELEC371,Microprocessor Interfacing and Embedded Systems,52,Naraig Manjikian
ELEC373,Computer Networks,60,Ning Lu
ELEC377,Operating Systems,68,Thomas R Dean
ELEC421,Digital Signal Processing,94,Wai-Yip Geoffrey Chan
ELEC451,Digital Integrated Circuit Engineering,97,Sean Whitehall
ELEC461,Digital Communications,36,Scott S H Yam
ELEC472,Artificial Intelligence,94,Ali Etemad
ENCH212,Principles of Chemical Reactivity,45,Jason Vlahakis
ENCH245,Applied Organic Chemistry I,62,Jason Vlahakis
ENPH211,Applied Physics,96,Philippe Stefano
ENPH225,Mechanics,49,Mark Chen
ENPH242,Relativity And Quanta,29,Marc Dignam
ENPH316,Mathematical Methods in Physics I,31,Lawrence M Widrow
ENPH321,Advanced Mechanics,37,Aaron Vincent
ENPH334,Electronics For Applied Scientists,62,Bhavin Shastri
ENPH336,Solid State Devices,60,Nir Rotenberg
ENPH344,Intro. To Quantum Mechanics,48,Greg van Anders
ENPH345,Quantum Physics Of Atoms,51,Aaron Vincent
ENPH431,Electromagnetic Theory,51,Robert J Gooding
ENPH480,Solid State Physics,54,Nir Rotenberg
GEOE333,Terrain Evaluation,91,Rob Haarp
MECH202,Mathematical and Computational Tools for Mechanical Engineers I,63,Laurent Beland
MECH203,Mathematical and Computational Tools for Mechanical Engineers II,85,Laurent Beland
MECH210,Electronic Circuits and Motors for Mechatronics,20,Amy Wu
MECH211,Manufacturing Methods,45,Vahid Fallah
MECH217,Measurement in Mechatronics,47,Richard Sellens
MECH221,Solid Mechanics I,47,Hao Sun
MECH228,Kinematics And Dynamics,74,Roshni Rainbow
MECH229,Kinematics and Dynamics,92,Pushparaj Pathak
MECH230,Applied Thermodynamics I,88,Gabriel Ciccarelli
MECH241,Fluid Mechanics I,54,Ugo Piomelli
MECH270,Materials Science and Engineering,21,Mark Daymond
MECH302,Mathematical and Computational Tools for Mechanical Engineers III,23,Alan Ableson
MECH310,Digital Systems for Mechatronics,92,Matthew Robertson
MECH321,Solid Mechanics II,83,Yongjun Lai
MECH330,Applied Thermo II,46,Francesco Ambrogi
MECH341,Fluid Mechanics II,57,Ugo Piomelli
MECH346,Heat Transfer,74,Baixuan Yang
MECH370,Prin Of Materials Processing,61,Bradley J Diak
MECH448,Compressible Fluid Flow,32,Patrick H Oosthuizen
MECH455,Computer Integrated Manufacturing,61,Gene Zak
MECH480,Airplane Aerodynamics and Performance,71,Ugo Piomelli
MECH495,Ergonomics And Design,83,Stephan Dobri
MREN223,Signals and Systems,49,Melissa  Greeff 
MINE201,Introduction to Mining and Mineral Processing,74,Charlotte Gibson
SOFT437,Performance Analysis,96,Samir Mohammad
