course_code,name,num_students,prof
CISC332,Database Management Systems,26,Wendy L Powley
CISC335,Computer Networks,31,Yuanzhu Chen
CISC351,Advanced Data Analytics,41,Yuan Tian
CISC352,Artificial Intelligence,53,Christian Muise
CISC360,Programming Paradigms,98,Jana Dunfield
CISC365,Algorithms I,96,Ting Hu
CISC371,Nonlinear Data Analysis,37,Randall Ellis
CISC372,Advanced Data Analytics,66,Yuan Tian
CISC423,Software Requirements,45,Reza Ahmadi
CISC451,Topics in Data Analytics,100,Yuan Tian
CISC452,Neural and Genetic Computing,98,Hazem Abbas
CISC454,Computer Graphics,62,James A Stewart
CISC457,Image Processing and Computer Vision,94,James A Stewart
CISC497,"Social, Ethical and Legal Issues in Computing",48,Catherine Stinson
CISC498,Information Technology Project,75,Anwar Hossain
CISC499,Advanced Undergraduate Project,60,Christian Muise
CWRI281,Literary Genres,83,Juliane Okot Bitek
DRAM100,"Introduction to Drama, Theatre, and Performance Studies",27,Grahame Renyk
DRAM200,Theatre History and Literature I,87,Kelsey Jacobson
DRAM220,Play Reading and Analysis,21,Gregory Wanless
DRAM240,Introduction to Theatre Production I,41,Joe Pagnan
DRAM242,Introduction to Theatre Production II,28,Joe Pagnan
ECON110,Principles of Economics,24,Ian James Cromb
ECON112,Introductory Macroeconomics,90,Rajni Dogra
ECON212,Microeconomic Theory I,84,Rajni Dogra
ECON222,Macroeconomic Theory I,80,Yiran Gong
ECON231,Emergence of the Modern Industrial Economy,85,Ian Keay
ECON232,The Diffusion of Modern Economic Growth,85,Ian Keay
ECON239,Economic Development,48,Huw Lloyd-Ellis
ECON243,The Economics of Health Care,74,Ugurhan Gazi Berkok
ECON250,Introduction to Statistics,53,Marcos Lee
ECON255,Introduction to Mathematical Economics,78,Jan Zabojnik
ECON280,Population and Economic Change,30,Anya P Hageman
ECON310,Microeconomic Theory II,59,Karen Ye
ECON320,Macroeconomic Theory II,68,Beverly Lapham
ECON322,Financial Markets and Risk Management,29,Thorsten Koepll
ECON332,Economic History of North America since 1865,74,Ian Keay
ECON351,Introductory Econometrics,86,Michael Barber
ECON360,Labour Economics,29,Michael Barber
ECON423,Topics in Financial Economics,85,Frank Milne
ECON425,International Trade Theory and Policy,26,Beverly Lapham
ECON426,International Macroeconomics,95,Gregor Smith
ECON430,Issues in Economic History,87,Ian Keay
ECON437,Cost-Benefit Analysis,92,Bahman Kashi
ECON440,Public Economics,88,Allen C Head
ECON450,Topics in Advanced Econometrics,63,Steve Lehrer
ECON452,Applied Econometrics,55,Christopher Ferrall
ECON491,Seminar in Macroeconomics II,82,Mike Kennedy
EMPR200,Unions and Labour Relations,51,Robert Hickey
EMPR210,Employment Law,91,Shannon Webb
EMPR220,Conflict Management,46,Jacoba Lilius
EMPR270,Introduction to Organizational Behaviour,55,Jacoba Lilius
ENGL100,Introduction to Literary Study,56,Christopher J Fanning
ENGL101,What Is Literature?,85,Scott-Morgan Straker
ENGL104,"Horror, Sci Fi, Fantasy",35,Dr. Brooke  Cameron
ENGL118,Literature and Mental Health,51,Angela Facundo
ENGL160,Modern Prose Fiction,51,Adam Cotton
ENGL161,Modern Prose Fiction l: The Elements of Fiction,43,Adam Cotton
ENGL162,Modern Prose Fiction ll: Pathways Through Fiction,88,Adam Cotton
ENGL200,History of Literature in English,90,Allen MacDuffie
ENGL215,Canadian Literature,39,Robert May
ENGL223,Selected Women Writers Post-1900,88,Heather A Evans
ENGL234,The Short Story in English,32,Veronika Kratz
ENGL235,Life Writing,99,Jesyka Taylor
ENGL237,Children's Literature,70,Heather A Evans
ENGL273,Literature and the Fantastic,65,Ruth Wehlau
ENGL290,Seminar in Literary Interpretation,45,Christopher J Fanning
ENGL296,Introduction to Literary Criticism and Theory l,52,Angela Facundo
ENGL310,Medieval Literature of the British Isles,86,Ruth Wehlau
ENGL330,Restoration and 18th Century Literature,44,Christopher J Fanning
ENGL351,Victorian Literature,72,Steven Asselin
ENGL356,British Fiction of the 19th Century,65,Heather A Evans
ENGL357,19th-Century British Literature and Visual Culture,88,Heather A Evans
ENGL360,Modern Literature,46,Adam Cotton
ENGL375,American Literature,80,Kristin Moriah
ENGL389,Context North America,28,Petra Fachinger
ENGL431,Topics in Restoration and 18th-Century Literature I,35,Leslie Ritchie
ENGL436,Group I: Special Topics I,98,Leslie Ritchie
ENGL451,Topics in Victorian Literature I,32,Heather A Evans
ENGL476,Topics in Postcolonial Literature I,75,Christopher Laurence Bongie
ENGL482,Topics in Indigenous Literature II,27,Petra Fachinger
ENGL486,Group III: Special Topics I,97,Veronika Kratz
ENGL487,Group III: Special Topics II,36,Gabrielle S McIntire
ENGL491,Topics in Literary Interpretation I,34,Glenn Wilmott
ENGL496,Topics in Literary Criticism and Theory I,65,Angela Facundo
ENGL497,Topics in Literary Criticism and Theory II,42,Angela Facundo
ENIN200,Foundations of Entrepreneurship,77,Greg Bavington
ENIN340,Topics in Innovation and Entrepreneurship,90,Sidney Eve Matrix
ENSC103,Environment and Sustainability,29,Kristen Lowitt
ENSC230,Principles of Sustainability,55,Geoffrey Hall
ENSC290,Introduction to Ecological Economics,37,Steven Moore
ENSC301,Environmental Assessment,99,Graham Whitelaw
ENSC390,Sustainability,92,Diane Orihel
FILM104,Film Form and Modern Culture to 1970,90,Robert Hyland
FILM110,"Film, Media and Screen Cultures",86,Scott MacKenzie
FILM111,"Film, Media, and Screen Cultures: History and Aesthetics",28,Gary Kibbins
FILM210,The Horror Film,94,Dan Vena
FILM217,Film Theory and History,46,Adam Cook
FILM218,Media Theory and History,54,Jonas Jacobson
FILM236,Media and Cultural Studies,39,Ian Robinson
FILM240,Media and Popular Culture,99,Philippe Gauthier
FILM250,Fundamentals of Media Production,90,Danae Elon
FILM260,Digital Media Theory,29,Philippe Gauthier
FILM335,Culture and Technology,53,Philippe Gauthier
FILM336,Film and Politics,61,Eric Chalfant
FILM340,Advertising and Consumer Culture,20,Ian Robinson
FILM342,Studies in Alternative Media,32,Tamara de Szegheo Lang
FILM390,Open Media Production,28,Gabriel Menotti
FREN106,Communication et culture I,48,Francesca Fiore
FREN107,Communication et culture II,70,Frederique Offredi
FREN150,Français intermédiaire,58,Michael Reyes
FREN230,Analyse textuelle et étude de la langue,29,Julien Lefort-Favreau
FREN231,Rédaction et style,79,Francesca Fiore
FREN320,Communication et culture V,92,François Rouget
FREN324,Le roman français du 20e siècle,82,Johanne Benard
FREN343,Histoire culturelle et littéraire de la francophonie et du Québec,82,Michael Reyes
FREN360,Grammaire avancée,45,Johanne Benard
FREN387,Littérature du 17e siècle,32,Francesca Fiore
FREN390,Genre et littérature,61,Francesca Fiore
FREN498,Séminaire de lecture,41,François Rouget
GNDS120,"Women, Gender, Difference",48,Habibe Baba
GNDS125,"Gender, Race, and Popular Culture",64,Habibe Baba
GNDS211,Feminist Histories,96,Nancy Butler
GNDS212,"Racism, Colonialism, and Resistance",28,Trish Salah
GNDS215,Introduction to Sexual and Gender Diversity,93,Elizabeth Brule
GNDS285,Transgender Politics and Representation,48,Trish Salah
GNDS295,Comics and Politics,87,Christopher Bennett
GNDS315,Feminist Pedagogies,29,Melissa Houghtaling
GNDS335,Science Fiction and Fantasy,56,Jane Tolmie
GPHY101,Human Geography,66,Anne M C Godlewska
GPHY207,Principles of Biogeography,22,Rachel Kuzmich
GPHY209,Weather and Climate,64,Ian Strachan
GPHY228,Geographies of the Global Political Economy,80,Kesha  Fevrier
GPHY242,Remote Sensing I: Remote Sensing of the Environment,98,Laura Thomson
GPHY304,Northern and Arctic Environments,52,Robert Way
GPHY336,"Geography, the Environment and Human Health",87,Patricia Collins
GPHY352,Gender and the City,79,Hilal Kara
GPHY367,People and Place in the Changing Arctic,79,Mark Stoller
GPHY368,Environments and Society,57,Laura Cameron
GEOL104,The Dynamic Earth,87,Christopher Omelon
GEOL106,Environmental Geology and Natural Hazards,35,Christa Pufahl
GEOL107,History of Life,89,Guy M Narbonne
GEOL221,Geological Field Methods,63,Robin Harrap
GEOL362,Petrology Applied to Ore Deposit,88,Gema Olivo
GRMN101,Beginner's German I,72,Christiane Arndt
GRMN102,Beginner's German II,81,Monika Holzschuh Sator
DEVS100,"Canada and the ""Third World""",43,Guy Crawford
DEVS101,Development Studies in Global Perspective,30,Marcus Taylor
DEVS102,Canada in the World,80,Rebecca Hall
DEVS220,Introduction to Indigenous Studies,43,Ian Fanning
DEVS221,Indigenous Studies II - Resistance and Resurgence,63,Ian Fanning
DEVS230,The Global Political Economy of Development,97,Susanne Soederberg
DEVS240,Decolonizing Development,88,Ayca Tomac
DEVS250,Environmental Transformations,65,Marcus Taylor
DEVS260,"Globalization, Gender, and Development",55,Reena Kukreja
DEVS353,Business and Global Development,77,Susanne M Soederberg
DEVS354,Cities and Urbanization in the South,25,David A McDonald
DEVS361,Policy Advocacy in Global Development,80,Scott Rutherford
DEVS363,Contemporary Southern Africa: Development Trends and Challenges,41,Marc Epprecht
DEVS365,Trade and Investment in the Global South,38,Kyla Tienhaara
DEVS393,Topics in Development Studies II,44,David A McDonald
DEVS492,Topics in Development Studies I,85,Bernadette Resurreccion
HLTH101,Social Determinants of Health,27,Stevenson Fergus
HLTH200,Physical Fitness and Exercise Programming,56,Jenson Price
HLTH205,Introduction to Health Promotion,27,Joseph Kangmennaang
HLTH230,Basic Human Nutrition,35,Jeffery Lalonde
HLTH235,Food Systems,29,Elaine Power
HLTH252,Introduction to Research Methods,83,Eun-Young Lee
HLTH270,Movement Behaviours and Health,47,Ian Janssen
HLTH315,Theory and Practice of Health Behaviour Change,54,Amy Latimer-Cheung
HLTH323,Epidemiology,53,Ian Janssen
HLTH350,Topics in Global Health,79,Elijah Bisung
HLTH416,Program Planning and Evaluation,65,Lucie Levesque
HIST104,Pre-Confederation Canada: A History of the Present,32,Steven J Maynard
HIST105,Post-Confederation Canada: A History of the Present,31,Steven J Maynard
HIST106,The Making of Modern Europe,55,Andrew Jainchill
HIST108,"Early Globalization: Contact, Conflict, and Pandemics",63,Aditi Sen-Chowdhury
HIST109,War and Revolution in the Modern World,76,Awet Weldemichael
HIST110,Europe from Antiquity to the Scientific Revolution,25,Jeffery Collins
HIST124,Canada: A History of the Present,24,Steven J Maynard
HIST206,"The United States in the Gilded Age and Progressive Era, 1868-1920",96,Roseanne Currarino
HIST210,The History of Sexuality in Canada,34,Steven J Maynard
HIST211,The Cold War,55,Leonid Trofimov
HIST214,Food in Global History,39,Aditi Sen-Chowdhury
HIST215,"Sport, Virtue, and Violent Spectacle from Antiquity to the Renaissance",35,Anthony Francis D'Elia
HIST216,U.S. Civil War and Reconstruction,70,Rosanne Currarino
HIST218,Byzantium,37,Richard Greenfield
HIST219,"""Canada"": The History of an Idea",31,Caroline-Isabelle Caron
HIST220,Jews on Film,24,Gordon Dueck
HIST223,Poison and Prejudice: Toxins in Global History,82,Aditi Sen-Chowdhury
HIST225,The Early Middle Ages,54,Megan Welton
HIST228,Global History of Pandemics,40,Aditi Sen-Chowdhury
HIST241,Issues in History,93,Gordon Dueck
HIST242,Issues in Canadian History,79,Scott Berthelette
HIST243,The Crusades,52,Richard Greenfield
HIST245,Imperial Russia,59,Ana Siljak
HIST246,The Soviet Experiment,33,Rebecca Manley
HIST251,Medieval England,80,Daniel Woolf
HIST252,Africa in the Modern World,22,Samuel Tsegai
HIST253,History of Public Policy,41,Tim Smith
HIST255,Renaissance and Reformation Europe,66,Anthony Francis D'Elia
HIST267,The (Un) Making of the Modern Middle East,42,Ariel Salzmann
HIST286,Latin America from 1850 to Today: The Modern Era,20,David Parker
HIST294,Arab-Israeli Conflict and Regional Security,89,Ariel Salzmann
HIST295,The Holocaust,51,Gordon Dueck
HIST304,The Civil War and the Making of America,72,Roseanne Currarino
HIST307,Introduction to Historiography,36,Daniel Woolf
HIST313,"British North America, 1759-1867",54,Jeff McNairn
HIST315,Modern Latin American History: Sources and Debates,75,David Parker
HIST316,European Politics and Society Since 1789,92,Rebecca Manley
HIST318,Modern East Asia,69,Emily Hill
HIST320,Indigenous History of North America,90,Scott Berthelette
HIST353,Revolutions and Civil Wars in Twentieth-Century Latin America,49,David Parker
HIST401,Topics in Canadian History,80,Jeff McNairn
HIST438,The Historical Imagination,100,Nancy Van Deusen
HIST461,Race and Ethnicity in Latin America,88,David Parker
INDG301,Indigenous Ways of Knowing,71,Carleigh Milburn
IDIS173,The History and Philosophy of Health and Healthcare,32,Cheryl Cline
IDIS280,Interprofessional Approaches in Healthcare,57,Rosemary Brander
IDIS373,"Health Ethics, Law, and Policy",61,Jeremy Butler
ITLN111,Beginning Italian I,61,Elena Cecchetto
JAPN100,Introductory Japanese I,27,Keiko Aoki
JAPN200,Introductory Japanese II,50,Keiko Aoki
KNPE125,Introduction to Human Physiology,76,Brendon Gurd
KNPE153,Introductory Biomechanics,40,Megan McAllister
KNPE167,Socio-Cultural Dimensions of Sport and Physical Activity,27,Courtney Szto
KNPE225,Advanced Human Physiology,92,Michael Tschakovsky
KNPE227,Exercise Physiology,33,Brendon Gurd
KNPE254,Biomechanical Analysis of Human Movement,49,Jessica Selinger
KNPE255,"Physical Activity, Fitness, and Health",84,Robert Ross
KNPE335,Healthy Aging,77,Madison Robertson
KNPE339,Advanced Exercise Metabolism,82,Brendon Gurd
LLCU111,Introduction to Culture,80,Antonio Macedo
LLCU200,Semiotics: Interpreting the World,61,Donato Santeramo
LLCU201,Introduction to Romance Philology,39,Cristiana Zaccagnino
