,name,rating_val,num_of_ratings,percent_would_take_again,diff_level,href
63,Hesham  ElSawy,4.1,11 ratings,82%,3.6,https://www.ratemyprofessors.com/professor/2939079
64,Paul Duchesne,2.4,8 ratings,25%,3.5,https://www.ratemyprofessors.com/professor/2942147
65,Kevin McEleney,4.8,6 ratings,100%,3.2,https://www.ratemyprofessors.com/professor/3012464
66,Lisa Kelly,5.0,2 ratings,100%,N/A,https://www.ratemyprofessors.com/professor/2779155
67,Ahmad Afsahi,3.6,35 ratings,100%,3.1,https://www.ratemyprofessors.com/professor/35778
68,Yu Hou,3.6,19 ratings,57%,3.4,https://www.ratemyprofessors.com/professor/1914487
69,Kexue Zhang,3.4,14 ratings,65%,2.2,https://www.ratemyprofessors.com/professor/2335461
70,Gauvin Bailey,4.5,66 ratings,90%,3.5,https://www.ratemyprofessors.com/professor/1632992
71,Naraig Manjikian,3.3,46 ratings,53%,2.9,https://www.ratemyprofessors.com/professor/37343
72,James A Mingo,3.2,45 ratings,73%,3.3,https://www.ratemyprofessors.com/professor/87495
73,Cathleen Hoeniger,3.4,22 ratings,84%,3.5,https://www.ratemyprofessors.com/professor/345321
74,Rebecca Manley,4.6,37 ratings,94%,3.1,https://www.ratemyprofessors.com/professor/469534
75,Niya  St. Amant,4.2,10 ratings,80%,1.6,https://www.ratemyprofessors.com/professor/3042136
76,Gordon Dueck,3.3,78 ratings,44%,2.8,https://www.ratemyprofessors.com/professor/36324
77,Anthony Francis D'Elia,3.5,44 ratings,45%,2.8,https://www.ratemyprofessors.com/professor/56999
78,Colin Farrelly,4.1,33 ratings,81%,2.9,https://www.ratemyprofessors.com/professor/1516501
79,Beste Kucukyazici,4.1,13 ratings,77%,3.1,https://www.ratemyprofessors.com/professor/2946882
80,Cory Hinds,4.9,12 ratings,100%,2.3,https://www.ratemyprofessors.com/professor/2953069
81,Robert Hickey,4.9,11 ratings,100%,2.3,https://www.ratemyprofessors.com/professor/2612498
82,Jean Thomas,1.4,8 ratings,13%,3.4,https://www.ratemyprofessors.com/professor/2877622
83,Charlotte Gibson,5.0,5 ratings,100%,N/A,https://www.ratemyprofessors.com/professor/2784842
84,Daniel McNeil,2.7,3 ratings,34%,3.3,https://www.ratemyprofessors.com/professor/2959131
85,Nicole Berube,5.0,1 ratings,100%,N/A,https://www.ratemyprofessors.com/professor/2872290
86,Norman Vorano,2.0,1 ratings,0%,N/A,https://www.ratemyprofessors.com/professor/2671310
87,Fabio Colivicchi,4.5,51 ratings,100%,1.9,https://www.ratemyprofessors.com/professor/1155046
88,Mary-Jo Maur,2.7,17 ratings,34%,3.2,https://www.ratemyprofessors.com/professor/1770359
89,Jeremy Butler,4.9,14 ratings,100%,2.1,https://www.ratemyprofessors.com/professor/2722947
90,Amarnath Amarasingam,4.9,70 ratings,100%,2.5,https://www.ratemyprofessors.com/professor/2505362
91,Mark Smith,4.3,53 ratings,74%,2.8,https://www.ratemyprofessors.com/professor/170748
92,Jordan Poppenk,4.0,46 ratings,67%,3.7,https://www.ratemyprofessors.com/professor/1919391
93,Elizabeth Baisley,1.6,17 ratings,12%,3.8,https://www.ratemyprofessors.com/professor/2759620
94,Jennifer Carpenter,2.9,10 ratings,40%,N/A,https://www.ratemyprofessors.com/professor/2506719
95,Elizabeth Joanne Archibald,5.0,1 ratings,100%,N/A,https://www.ratemyprofessors.com/professor/3073500
96,Angela Facundo,4.8,16 ratings,100%,3.2,https://www.ratemyprofessors.com/professor/2630548
97,Burton Ma,3.0,54 ratings,60%,3.5,https://www.ratemyprofessors.com/professor/2636674
98,John Burge,3.5,33 ratings,31%,3.3,https://www.ratemyprofessors.com/professor/155962
99,Nicole Beamish,1.4,18 ratings,6%,4.2,https://www.ratemyprofessors.com/professor/2893473
100,Fauzia Husain,3.8,4 ratings,75%,N/A,https://www.ratemyprofessors.com/professor/3030493
101,Donald Maurice,1.0,1 ratings,0%,N/A,https://www.ratemyprofessors.com/professor/2402287
102,Steven J Maynard,3.8,85 ratings,83%,3.2,https://www.ratemyprofessors.com/professor/475317
103,Gregory Wanless,3.5,31 ratings,67%,2.3,https://www.ratemyprofessors.com/professor/31208
104,Cynthia Tormann,3.9,17 ratings,84%,2.3,https://www.ratemyprofessors.com/professor/73418
105,Bahman Gharesifard,5.0,11 ratings,100%,2.5,https://www.ratemyprofessors.com/professor/1976676
106,Eugene Lang,4.1,10 ratings,80%,3.4,https://www.ratemyprofessors.com/professor/2576772
107,Matthew James,2.0,6 ratings,17%,4.3,https://www.ratemyprofessors.com/professor/2872401
108,Wayne S Cox,3.9,83 ratings,80%,3.4,https://www.ratemyprofessors.com/professor/35412
109,Eleanor MacDonald,4.8,47 ratings,100%,N/A,https://www.ratemyprofessors.com/professor/120901
110,Felix Fosu,2.5,13 ratings,39%,3.5,https://www.ratemyprofessors.com/professor/2999764
111,Jonathan Smallwood,2.3,3 ratings,34%,4.3,https://www.ratemyprofessors.com/professor/2687065
112,Noriko Yui,2.8,29 ratings,32%,3.5,https://www.ratemyprofessors.com/professor/146694
113,Maria Chiri,4.3,6 ratings,84%,3.3,https://www.ratemyprofessors.com/professor/2960632
114,James Stotz,1.6,5 ratings,20%,4.6,https://www.ratemyprofessors.com/professor/2341870
115,Jacoba Lilius,5.0,7 ratings,100%,2.7,https://www.ratemyprofessors.com/professor/2667964
116,Kevin De France,5.0,2 ratings,100%,1.5,https://www.ratemyprofessors.com/professor/2893665
117,Ming Xu,3.5,2 ratings,50%,3.5,https://www.ratemyprofessors.com/professor/2964079
118,Sarah Burrows,1.0,1 ratings,0%,N/A,https://www.ratemyprofessors.com/professor/3072356
119,Guy M Narbonne,4.7,76 ratings,91%,2.7,https://www.ratemyprofessors.com/professor/90828
120,Felicia  Magpantay,1.4,15 ratings,7%,4.8,https://www.ratemyprofessors.com/professor/2948306
121,François Rouget,3.3,15 ratings,55%,2.7,https://www.ratemyprofessors.com/professor/1826363
122,Christine Armstrong,2.7,3 ratings,67%,2.3,https://www.ratemyprofessors.com/professor/2747608
123,Holly Ogden,4.8,24 ratings,96%,1.6,https://www.ratemyprofessors.com/professor/2340837
124,Evan Jo,1.9,79 ratings,17%,4.2,https://www.ratemyprofessors.com/professor/3054520
125,Bernard Kavanagh,3.4,63 ratings,55%,3.4,https://www.ratemyprofessors.com/professor/11638
126,Sergio Sismondo,4.2,61 ratings,79%,3.3,https://www.ratemyprofessors.com/professor/49595
127,Troy Day,3.9,53 ratings,70%,3.4,https://www.ratemyprofessors.com/professor/429185
128,Sumon Majumdar,4.1,22 ratings,75%,3.1,https://www.ratemyprofessors.com/professor/23860
129,Johanne Benard,3.9,15 ratings,80%,N/A,https://www.ratemyprofessors.com/professor/218949
130,Diane Orihel,1.9,7 ratings,15%,3.6,https://www.ratemyprofessors.com/professor/2581132
131,Jana Dunfield,4.2,15 ratings,87%,2.7,https://www.ratemyprofessors.com/professor/2431607
132,Ian Janssen,2.7,13 ratings,50%,3.5,https://www.ratemyprofessors.com/professor/1468447
133,Robert May,2.9,51 ratings,22%,3.7,https://www.ratemyprofessors.com/professor/300048
134,Jeffrey Wammes,4.3,30 ratings,80%,N/A,https://www.ratemyprofessors.com/professor/2712590
135,Nicole Myers,4.3,8 ratings,88%,3.9,https://www.ratemyprofessors.com/professor/2451198
136,Sara Nabil,1.0,5 ratings,0%,3.6,https://www.ratemyprofessors.com/professor/2781605
137,Julia Brook,4.6,4 ratings,100%,1.5,https://www.ratemyprofessors.com/professor/1803122
138,Farnaz  Heidar-Zadeh,2.5,2 ratings,0%,2.5,https://www.ratemyprofessors.com/professor/2854695
139,Jason Harris,1.0,1 ratings,0%,N/A,https://www.ratemyprofessors.com/professor/3071606
140,Wendy L Powley,3.3,66 ratings,57%,2.7,https://www.ratemyprofessors.com/professor/163799
141,David Haglund,2.6,42 ratings,31%,N/A,https://www.ratemyprofessors.com/professor/39614
142,Catherine Pfaff,2.9,27 ratings,47%,3.7,https://www.ratemyprofessors.com/professor/2578171
143,Tomilola Adebiyi,5.0,1 ratings,100%,N/A,https://www.ratemyprofessors.com/professor/2915174
144,Azouz Ahmed,3.0,20 ratings,48%,2.4,https://www.ratemyprofessors.com/professor/2053528
145,Laura Thomson,5.0,2 ratings,100%,2.5,https://www.ratemyprofessors.com/professor/3018013
146,Paul Calluzzo,4.3,7 ratings,84%,N/A,https://www.ratemyprofessors.com/professor/2095892
147,Douglas Reid,3.5,41 ratings,34%,N/A,https://www.ratemyprofessors.com/professor/18865
148,Devon Lin,2.5,16 ratings,29%,3.8,https://www.ratemyprofessors.com/professor/1457961
149,Jan Sneep,1.2,48 ratings,5%,3.7,https://www.ratemyprofessors.com/professor/2569401
150,Zachary Selk,3.5,2 ratings,50%,N/A,https://www.ratemyprofessors.com/professor/2978676
151,Kai T Salomaa,2.9,62 ratings,42%,3.3,https://www.ratemyprofessors.com/professor/30787
152,Christian Muise,4.4,28 ratings,90%,2.3,https://www.ratemyprofessors.com/professor/2656597
153,Valerie Bartlett,2.5,19 ratings,32%,3.2,https://www.ratemyprofessors.com/professor/2546163
154,Antonio Nicaso,4.4,16 ratings,82%,1.9,https://www.ratemyprofessors.com/professor/2241134
155,Ian Robinson,2.6,14 ratings,50%,3.3,https://www.ratemyprofessors.com/professor/2474302
156,John Carran,3.6,139 ratings,62%,3.6,https://www.ratemyprofessors.com/professor/1072423
157,Ling Yang,1.5,26 ratings,8%,4.3,https://www.ratemyprofessors.com/professor/2569567
158,Michael A Adams,4.5,12 ratings,100%,2.8,https://www.ratemyprofessors.com/professor/12719
159,Jim Hamilton,4.2,11 ratings,73%,3.5,https://www.ratemyprofessors.com/professor/2269974
160,Melissa  Greeff,2.0,1 ratings,0%,N/A,https://www.ratemyprofessors.com/professor/3048226
161,Jonathan W Rose,4.1,134 ratings,77%,2.9,https://www.ratemyprofessors.com/professor/27437
162,Hans Christian Dringenberg,4.7,107 ratings,80%,2.5,https://www.ratemyprofessors.com/professor/27640
163,Anne Topper,4.2,93 ratings,74%,2.9,https://www.ratemyprofessors.com/professor/55789
164,Elizabeth Kelley,2.2,52 ratings,25%,3.6,https://www.ratemyprofessors.com/professor/1048789
165,Francesca Fiore,4.2,22 ratings,75%,3.5,https://www.ratemyprofessors.com/professor/1734688
166,Gang Wu,2.6,15 ratings,27%,3.4,https://www.ratemyprofessors.com/professor/2423766
167,Pouya Amiri,3.4,5 ratings,80%,2.6,https://www.ratemyprofessors.com/professor/2963947
168,Kyla Tienhaara,3.0,4 ratings,50%,2.8,https://www.ratemyprofessors.com/professor/2864080
169,Somi Narayanan,3.7,190 ratings,59%,3.6,https://www.ratemyprofessors.com/professor/15759
170,Paul Allison,4.5,50 ratings,94%,3.1,https://www.ratemyprofessors.com/professor/2396361
171,Paul Gardner,3.1,14 ratings,65%,3.2,https://www.ratemyprofessors.com/professor/2759611
172,Omar Bachour,5.0,9 ratings,100%,2.3,https://www.ratemyprofessors.com/professor/2898467
173,Laura Cameron,3.7,17 ratings,84%,2.2,https://www.ratemyprofessors.com/professor/166186
174,Rosemary Brander,2.1,10 ratings,30%,3.6,https://www.ratemyprofessors.com/professor/2669884
